geneID	TR42	TR43	flower.AVG
novel_gene_1096_5bd9a17a	3.29	3.94	2.63
novel_gene_1098_5bd9a17a	5.6	8.48	6.22
novel_gene_1099_5bd9a17a	0.77	2.37	2.45
novel_gene_1101_5bd9a17a	0.77	1.5	1.39
novel_gene_1102_5bd9a17a	1.87	1.89	1.97
novel_gene_1105_5bd9a17a	2.38	1.77	1.6
novel_gene_1107_5bd9a17a_novel_gene_1108_5bd9a17a	2.06	1.08	1.32
novel_gene_111_5bd9a17a	2.03	3.79	2.02
novel_gene_1110_5bd9a17a	2.67	3.07	1.93
novel_gene_1111_5bd9a17a	2.03	2.29	2.61
novel_gene_1114_5bd9a17a	2.37	3.25	4.6
novel_gene_1117_5bd9a17a	1.54	2.88	1.9
novel_gene_1118_5bd9a17a	3.3	3.42	2.85
novel_gene_112_5bd9a17a	4.97	4.3	3.54
novel_gene_1121_5bd9a17a	3.79	3.04	2.96
novel_gene_1122_5bd9a17a	0.77	1.91	1.24
novel_gene_1123_5bd9a17a	2.37	1.87	1.94
novel_gene_1126_5bd9a17a	3.27	4.58	4.02
novel_gene_1128_5bd9a17a	3.32	3.15	2.5
novel_gene_1129_5bd9a17a	2.06	2.13	2.01
novel_gene_1135_5bd9a17a	0.77	1.08	1.31
novel_gene_1138_5bd9a17a	4	4.16	3.69
novel_gene_114_5bda875f	3.31	3.27	2.72
novel_gene_1141_5bd9a17a	3.63	2.87	3.18
novel_gene_1143_5bd9a17a	4.95	5.23	5.28
novel_gene_1144_5bd9a17a	5.78	6.05	4.27
novel_gene_1145_5bd9a17a	3.97	0.77	2.6
novel_gene_1148_5bd9a17a	0.77	2.5	1.42
novel_gene_115_5bd9a17a	3.29	4.13	1.32
novel_gene_115_5bda875f	3.62	4.41	3.98
novel_gene_1154_5bd9a17a	5.13	5.19	3.64
novel_gene_1155_5bd9a17a	0.77	2.49	2.61
novel_gene_1156_5bd9a17a	2.46	1.47	2.46
novel_gene_1158_5bd9a17a	4.4	4.42	4.3
novel_gene_1159_5bd9a17a	2.96	3.42	1.38
novel_gene_116_5bd9a17a	2.9	3.37	2.86
novel_gene_1163_5bd9a17a	2.7	2.17	1.18
novel_gene_1164_5bd9a17a	2.01	3.13	2.11
novel_gene_1166_5bd9a17a	2.38	2.4	2.46
novel_gene_1168_5bd9a17a	2.69	3.51	3.34
novel_gene_1169_5bd9a17a	2.69	3.51	3.34
novel_gene_117_5bd9a17a	4.2	2.05	3.75
novel_gene_1173_5bd9a17a	3.12	4.35	3.99
novel_gene_1179_5bd9a17a	2.27	2.44	1.64
novel_gene_118_5bd9a17a	1.88	3.8	2.19
novel_gene_1180_5bd9a17a	3.37	2.84	3.43
novel_gene_1182_5bd9a17a	0.77	2.93	2.85
novel_gene_1187_5bd9a17a	2.91	2.6	3.3
novel_gene_1188_5bd9a17a	0.77	0.77	1.38
novel_gene_1189_5bd9a17a	6.72	4.61	5.26
novel_gene_119_5bd9a17a	3.95	4.05	4.22
novel_gene_1191_5bd9a17a	3.78	3.62	2.41
novel_gene_1193_5bd9a17a	8.83	7.78	7.12
novel_gene_1195_5bd9a17a	3.31	4.03	3.69
novel_gene_1198_5bd9a17a	0.77	5.14	2.13
novel_gene_12_5bd9a17a	3.1	4.01	3.71
novel_gene_120_5bd9a17a	0.77	2.87	1.52
novel_gene_1205_5bd9a17a	3.9	3.31	3.26
novel_gene_1208_5bd9a17a	2.36	2.92	1.95
novel_gene_1219_5bd9a17a	3.71	4.04	3.75
novel_gene_1220_5bd9a17a	3.71	4.04	3.75
novel_gene_1222_5bd9a17a	3.31	3.54	2.45
novel_gene_1224_5bd9a17a	2.63	1.7	1.99
novel_gene_1226_5bd9a17a	2.65	1.56	1.55
novel_gene_123_5bd9a17a	2.05	2.64	2.8
novel_gene_123_5bda875f	1.54	2.18	1.46
novel_gene_1233_5bd9a17a	5.17	4.67	5.04
novel_gene_1235_5bd9a17a	2.94	3.5	2.57
novel_gene_1236_5bd9a17a	0.77	1.72	1.35
novel_gene_1241_5bd9a17a	4.59	2.84	1.49
novel_gene_1242_5bd9a17a	2.45	2.08	1.95
novel_gene_1243_5bd9a17a	4.5	4.97	4.1
novel_gene_1249_5bd9a17a	2.43	2.2	1.42
novel_gene_1250_5bd9a17a	0.77	3.42	1.59
novel_gene_1253_5bd9a17a	1.9	1.12	2.03
novel_gene_1257_5bd9a17a	0.77	2.47	1.51
novel_gene_1266_5bd9a17a	4.73	4.98	4.42
novel_gene_1267_5bd9a17a	1.99	2.14	1.53
novel_gene_1268_5bd9a17a	0.77	1.09	1.6
novel_gene_1269_5bd9a17a	4.42	4.03	3.8
novel_gene_127_5bda875f	3.13	4.17	2.78
novel_gene_1275_5bd9a17a	0.77	3.66	2.86
novel_gene_1276_5bd9a17a	3.99	5.79	4.37
novel_gene_1277_5bd9a17a	5.26	3.76	4.32
novel_gene_1279_5bd9a17a	0.79	0.78	2.09
novel_gene_1281_5bd9a17a	0.77	2.3	1.99
novel_gene_1282_5bd9a17a	2.41	2.19	1.98
novel_gene_1283_5bd9a17a	0.77	0.77	2.06
novel_gene_1284_5bd9a17a	2.37	3.25	3.44
novel_gene_1286_5bd9a17a	2.19	1.34	1.65
novel_gene_1287_5bd9a17a	1.91	2	2.46
novel_gene_1290_5bd9a17a	1.25	5.97	1.5
novel_gene_1292_5bd9a17a	2.9	3.95	3.58
novel_gene_1293_5bd9a17a	1.55	1.52	1.29
novel_gene_1295_5bd9a17a	3.98	3.66	3.11
novel_gene_13_5bd9a17a	2.96	2.32	2.74
novel_gene_1301_5bd9a17a	3.17	3.36	3.51
novel_gene_1303_5bd9a17a	6.53	6.17	6.11
novel_gene_1304_5bd9a17a	2.7	2.04	2.04
novel_gene_1305_5bd9a17a	2.07	2.99	2.34
novel_gene_1306_5bd9a17a	1.52	1.53	1.15
novel_gene_131_5bd9a17a	0.77	2.03	1.59
novel_gene_1312_5bd9a17a	0.77	2.33	1.5
novel_gene_1313_5bd9a17a	2.06	2.2	2.04
novel_gene_1316_5bd9a17a	2	3	1.92
novel_gene_1322_5bd9a17a	1.55	1.74	1.6
novel_gene_1327_5bd9a17a_novel_gene_1328_5bd9a17a	2.25	3.43	2.47
novel_gene_1330_5bd9a17a_novel_gene_1331_5bd9a17a	1.7	2.98	2.23
novel_gene_1332_5bd9a17a	0.77	1.9	2.73
novel_gene_1334_5bd9a17a	1.54	1.33	1.28
novel_gene_1337_5bd9a17a	0.77	2.86	2.85
novel_gene_1338_5bd9a17a	3.12	2.4	2.32
novel_gene_134_5bd9a17a	2.03	1.08	1.88
novel_gene_1340_5bd9a17a	1.91	3.01	3.38
novel_gene_1342_5bd9a17a	4.23	4.12	4.79
novel_gene_1343_5bd9a17a	1.99	1.86	1.31
novel_gene_1345_5bd9a17a	0.77	2.35	3.25
novel_gene_1348_5bd9a17a	3.59	3.74	3.03
novel_gene_1349_5bd9a17a	1.99	1.86	1.23
novel_gene_1350_5bd9a17a	2.05	0.77	1.41
novel_gene_1351_5bd9a17a	2.35	1.86	1.14
novel_gene_1355_5bd9a17a	2.38	1.88	1.18
novel_gene_1356_5bd9a17a	0.77	2.27	2.05
novel_gene_1357_5bd9a17a	1.52	1.07	1.48
novel_gene_1358_5bd9a17a	1.5	1.86	1.23
novel_gene_1360_5bd9a17a	1.98	2.78	2.29
novel_gene_1361_5bd9a17a	3.55	3.62	1.43
novel_gene_1363_5bd9a17a	2.01	2.1	1.65
novel_gene_1367_5bd9a17a	0.77	2.17	2.27
novel_gene_1368_5bd9a17a	3.18	4.18	3.38
novel_gene_1369_5bd9a17a	3.45	3.83	3.72
novel_gene_1370_5bd9a17a	1.56	1.51	1.64
novel_gene_1371_5bd9a17a	2.71	2.18	1.91
novel_gene_1373_5bd9a17a	2.21	3.43	2.97
novel_gene_1375_5bd9a17a	3.75	4.03	4.22
novel_gene_1376_5bd9a17a	3.97	4.13	3.75
novel_gene_1377_5bd9a17a	5.31	6.55	4.44
novel_gene_1378_5bd9a17a	2	2.01	1.58
novel_gene_1379_5bd9a17a	0.77	3.55	1.41
novel_gene_138_5bd9a17a	3.09	3.35	3.03
novel_gene_1380_5bd9a17a	6.8	7.42	7.47
novel_gene_1382_5bd9a17a	2.9	3.57	3.08
novel_gene_1385_5bd9a17a	3.59	2.39	3.16
novel_gene_1387_5bd9a17a	2	2.47	2.19
novel_gene_1389_5bd9a17a	0.77	2.96	1.86
novel_gene_1390_5bd9a17a	2.36	1.52	1.87
novel_gene_1391_5bd9a17a	3.12	0.77	1.74
novel_gene_1395_5bd9a17a	3.73	2.56	3.09
novel_gene_1398_5bd9a17a	8.46	6.09	7.16
novel_gene_1400_5bd9a17a_novel_gene_1401_5bd9a17a	2.36	1.07	1.87
novel_gene_1403_5bd9a17a	0.77	3.6	2.25
novel_gene_1404_5bd9a17a	3.02	2.09	2.63
novel_gene_1405_5bd9a17a	1.52	2.5	2.3
novel_gene_1407_5bd9a17a	2.04	0.77	1.54
novel_gene_1409_5bd9a17a	2.69	2.87	3.99
novel_gene_141_5bd9a17a	5.06	5.66	3.93
novel_gene_1410_5bd9a17a	0.77	1.32	1.47
novel_gene_1411_5bd9a17a	4.55	3.82	3.34
novel_gene_1412_5bd9a17a	5.65	6.12	5.69
novel_gene_1413_5bd9a17a	3.67	3.53	3.43
novel_gene_1415_5bd9a17a	1.87	0.77	2.05
novel_gene_1416_5bd9a17a	2.1	1.69	1.44
novel_gene_1417_5bd9a17a	8.73	7.52	7.57
novel_gene_1419_5bd9a17a	3.14	1.36	2.6
novel_gene_142_5bd9a17a	1.51	2.59	2.22
novel_gene_1420_5bd9a17a	2.78	2.48	3
novel_gene_1422_5bd9a17a	0.77	2.83	1.84
novel_gene_1423_5bd9a17a	1.57	0.77	1.19
novel_gene_1424_5bd9a17a	6.31	6.35	5.44
novel_gene_1425_5bd9a17a	4.24	4.51	3.73
novel_gene_1426_5bd9a17a	2.56	2.31	3.52
novel_gene_1427_5bd9a17a	4.55	0.77	4.75
novel_gene_1429_5bd9a17a	3.41	3.91	2.56
novel_gene_143_5bd9a17a	4	3.37	3.64
novel_gene_1430_5bd9a17a_novel_gene_1431_5bd9a17a	6.36	5.1	4.86
novel_gene_1432_5bd9a17a	0.77	2.68	3.13
novel_gene_1434_5bd9a17a	1.52	2.76	2.76
novel_gene_1437_5bd9a17a	5.14	2.49	3.27
novel_gene_1439_5bd9a17a	0.77	1.86	1.82
novel_gene_1441_5bd9a17a	0.77	2.27	1.84
novel_gene_1442_5bd9a17a	4.35	5.05	3.19
novel_gene_1443_5bd9a17a	4.66	2.61	2.07
novel_gene_1444_5bd9a17a	2.04	2.05	1.53
novel_gene_1445_5bd9a17a	0.77	3.79	3.12
novel_gene_1446_5bd9a17a	4.9	4.28	3.83
novel_gene_1447_5bd9a17a	4.98	4.67	4.1
novel_gene_1448_5bd9a17a	3.63	2.61	2.8
novel_gene_1449_5bd9a17a	3.83	5.95	4.59
novel_gene_1453_5bd9a17a	2.42	3.53	4
novel_gene_1454_5bd9a17a	4.41	3.47	4.14
novel_gene_1457_5bd9a17a	0.77	2.05	2.5
novel_gene_1458_5bd9a17a	1.57	1.93	2.2
novel_gene_1459_5bd9a17a	2.32	1.81	1.71
novel_gene_146_5bd9a17a	0.77	2.74	2.2
novel_gene_1460_5bd9a17a	0.77	2.43	1.49
novel_gene_1468_5bd9a17a	3.52	3.5	3.61
novel_gene_1470_5bd9a17a	4.17	3.53	3.28
novel_gene_1471_5bd9a17a	2.39	4.14	2.4
novel_gene_1473_5bd9a17a	1.59	1.36	1.63
novel_gene_1475_5bd9a17a	1.56	1.35	1.76
novel_gene_1476_5bd9a17a	0.77	1.49	1.64
novel_gene_1478_5bd9a17a	2.93	2.4	3.76
novel_gene_1481_5bd9a17a	0.77	0.77	1.65
novel_gene_1483_5bd9a17a	4.66	4.35	2.52
novel_gene_1485_5bd9a17a	0.77	2.05	1.81
novel_gene_1486_5bd9a17a	8.03	8.18	7.57
novel_gene_1488_5bd9a17a	2.13	1.66	1.99
novel_gene_1489_5bd9a17a	5.65	6.53	6.17
novel_gene_149_5bd9a17a	6.21	5.34	5.13
novel_gene_1492_5bd9a17a	2.64	3.35	3.04
novel_gene_1493_5bd9a17a	4.86	5.58	4.85
novel_gene_1495_5bd9a17a	4.19	3.61	3.74
novel_gene_1497_5bd9a17a	4.17	4.99	4.17
novel_gene_15_5bda875f	4.65	3.48	4.33
novel_gene_150_5bd9a17a	0.77	2.18	1.16
novel_gene_150_5bda875f	1.55	1.34	1.54
novel_gene_1500_5bd9a17a	2.88	3.41	3.46
novel_gene_1501_5bd9a17a	2.95	3.17	3.37
novel_gene_1502_5bd9a17a	2.94	1.52	2.76
novel_gene_1504_5bd9a17a	0.77	1.7	1.08
novel_gene_1508_5bd9a17a	0.77	2.15	1.52
novel_gene_1509_5bd9a17a	0.77	1.56	1.52
novel_gene_1511_5bd9a17a	3.34	4.48	3.66
novel_gene_1513_5bd9a17a	2.45	1.9	1.92
novel_gene_1514_5bd9a17a	2.3	0.77	2.39
novel_gene_1515_5bd9a17a	0.78	2.31	2.32
novel_gene_1516_5bd9a17a	4.9	4.81	4.53
novel_gene_152_5bd9a17a	4.31	4.38	4.23
novel_gene_1521_5bd9a17a	3.72	3.65	2.94
novel_gene_1524_5bd9a17a	0.77	3.13	3.38
novel_gene_1525_5bd9a17a	2.9	3	3.06
novel_gene_1527_5bd9a17a	0.77	1.53	1.51
novel_gene_1528_5bd9a17a	4.13	0.8	2.82
novel_gene_1529_5bd9a17a	0.77	0.77	1.91
novel_gene_1530_5bd9a17a	4.95	4.59	2.72
novel_gene_1531_5bd9a17a	4.29	5.27	4.6
novel_gene_1532_5bd9a17a	8.89	7.89	8.03
novel_gene_1534_5bd9a17a	2.04	2.48	1.32
novel_gene_1536_5bd9a17a	0.77	2.08	2.22
novel_gene_1537_5bd9a17a	0.77	0.77	2.35
novel_gene_1538_5bd9a17a	3.62	2.86	2.28
novel_gene_1542_5bd9a17a	0.77	1.88	1.64
novel_gene_1546_5bd9a17a	2.05	0.77	2.01
novel_gene_1547_5bd9a17a	2.43	2.03	2.46
novel_gene_1549_5bd9a17a	3.69	3.62	2.98
novel_gene_1551_5bd9a17a	0.77	3.86	2.04
novel_gene_1552_5bd9a17a	6.22	6.14	4.83
novel_gene_1553_5bd9a17a	2.88	2.83	2.64
novel_gene_1554_5bd9a17a	5.99	5.78	6.16
novel_gene_1555_5bd9a17a	3.15	3.82	2.68
novel_gene_1558_5bd9a17a	4.16	3.75	4.15
novel_gene_1559_5bd9a17a	5.78	4.71	4.29
novel_gene_1561_5bd9a17a	0.77	1.32	0.98
novel_gene_1569_5bd9a17a	3.85	3	3.18
novel_gene_1574_5bd9a17a	1.76	1.19	2.25
novel_gene_1575_5bd9a17a	1.76	1.19	2.25
novel_gene_1576_5bd9a17a	1.74	1.44	2.11
novel_gene_1578_5bd9a17a	4.89	5.32	3.89
novel_gene_1580_5bd9a17a	1.52	2.28	2.12
novel_gene_1581_5bd9a17a	0.77	2.02	1.79
novel_gene_1584_5bd9a17a	3.29	3.91	3.46
novel_gene_1585_5bd9a17a	4.4	4.83	3.35
novel_gene_1589_5bd9a17a	0.77	3.51	2.92
novel_gene_159_5bd9a17a	4.48	4.08	4.2
novel_gene_1590_5bd9a17a	4.46	3.08	3.96
novel_gene_1591_5bd9a17a	4.41	3.16	2.35
novel_gene_1593_5bd9a17a	5.48	5.32	5.2
novel_gene_1594_5bd9a17a	0.77	1.71	1.61
novel_gene_1595_5bd9a17a	5.98	6.13	5.58
novel_gene_1596_5bd9a17a	3.11	2.59	2.52
novel_gene_1597_5bd9a17a	5.62	5.2	5.23
novel_gene_16_5bd9a17a	3.22	3.41	2.44
novel_gene_1601_5bd9a17a	2.31	3.7	2.58
novel_gene_1604_5bd9a17a	3.45	3.66	3.39
novel_gene_1605_5bd9a17a	6.22	5.4	5.13
novel_gene_1606_5bd9a17a	0.77	1.72	2.05
novel_gene_1609_5bd9a17a	1.51	1.71	1.79
novel_gene_1610_5bd9a17a	1.53	1.08	1.96
novel_gene_1611_5bd9a17a	0.77	1.73	1.76
novel_gene_1612_5bd9a17a	2.44	3.32	2.65
novel_gene_1613_5bd9a17a	3.44	3.62	3.11
novel_gene_1614_5bd9a17a	3.55	3.11	3.01
novel_gene_1615_5bd9a17a	2.64	2.13	1.19
novel_gene_1619_5bd9a17a	4.85	4.44	3.81
novel_gene_162_5bd9a17a	3.45	1.67	1.87
novel_gene_1620_5bd9a17a	3.85	4.22	3.05
novel_gene_1621_5bd9a17a	1.53	2.6	2.35
novel_gene_1622_5bd9a17a	3.97	3.76	3.38
novel_gene_1624_5bd9a17a	3.93	4.09	3.32
novel_gene_1625_5bd9a17a	2.67	3.33	3.79
novel_gene_1632_5bd9a17a	0.77	2.41	2.4
novel_gene_1633_5bd9a17a	2.35	2.01	1.78
novel_gene_1634_5bd9a17a	4.51	4.7	4.43
novel_gene_1636_5bd9a17a	1.55	2.63	2.09
novel_gene_1637_5bd9a17a	2.7	3.35	2.9
novel_gene_1639_5bd9a17a	3.23	4.11	3.41
novel_gene_1641_5bd9a17a	2.47	2.5	1.72
novel_gene_1643_5bd9a17a	3.44	3.7	2.47
novel_gene_1649_5bd9a17a	6.55	3.83	4.3
novel_gene_1651_5bd9a17a	1.51	2.75	2.02
novel_gene_1652_5bd9a17a	0.77	2.52	1.51
novel_gene_1657_5bd9a17a	2.39	1.72	1.48
novel_gene_1658_5bd9a17a	0.77	3.16	1.73
novel_gene_166_5bd9a17a	2.14	2.15	1.56
novel_gene_1663_5bd9a17a	2.67	3.53	3.13
novel_gene_167_5bd9a17a	4.27	4.29	3.4
novel_gene_1670_5bd9a17a	1.52	1.37	1.6
novel_gene_1673_5bd9a17a	4.09	3.97	3.54
novel_gene_1674_5bd9a17a	1.73	1.91	1.12
novel_gene_1676_5bd9a17a	0.77	5.22	4.71
novel_gene_1677_5bd9a17a	0.77	0.77	1.76
novel_gene_168_5bda875f	4.3	4.65	4.15
novel_gene_1680_5bd9a17a	0.77	3.03	2.34
novel_gene_1683_5bd9a17a	1.69	2.39	2.56
novel_gene_1685_5bd9a17a	0.77	2.01	1.46
novel_gene_1687_5bd9a17a	1.51	1.87	2.02
novel_gene_1691_5bd9a17a	0.77	2.05	2.05
novel_gene_1694_5bd9a17a	3.2	3.6	3.5
novel_gene_170_5bd9a17a	2.86	0.77	1.25
novel_gene_1701_5bd9a17a	0.77	1.59	2.36
novel_gene_1702_5bd9a17a	2.69	2.41	2.29
novel_gene_1703_5bd9a17a	1.53	2.95	2.65
novel_gene_1704_5bd9a17a	0.77	2.18	1.58
novel_gene_1707_5bd9a17a	0.77	1.21	1.63
novel_gene_1708_5bd9a17a	4.56	1.91	4.24
novel_gene_1711_5bd9a17a	5.48	5.46	5.58
novel_gene_1714_5bd9a17a	4.64	4.55	3.98
novel_gene_1718_5bd9a17a	3.14	2.7	2.38
novel_gene_1719_5bd9a17a	2.91	3.63	2.9
novel_gene_172_5bda875f	2.57	3.16	2.81
novel_gene_1722_5bd9a17a	7.02	7.09	6.21
novel_gene_1723_5bd9a17a	7.05	7.03	6.27
novel_gene_1725_5bd9a17a	3.39	3.5	4.51
novel_gene_1726_5bd9a17a	3.09	3.46	2.05
novel_gene_1729_5bd9a17a	3.24	2.93	2.57
novel_gene_1733_5bd9a17a	0.77	2.39	1.6
novel_gene_1734_5bd9a17a	2.21	2.42	1.97
novel_gene_1735_5bd9a17a	6.84	7.09	6.41
novel_gene_1736_5bd9a17a	0.77	2.03	1.95
novel_gene_174_5bd9a17a	4.82	2.63	3.46
novel_gene_1740_5bd9a17a	2.94	2.98	2.74
novel_gene_1742_5bd9a17a	3.92	0.77	2.3
novel_gene_1744_5bd9a17a	4.4	4.2	4.31
novel_gene_1745_5bd9a17a	3.03	2.96	0.92
novel_gene_1749_5bd9a17a	4.22	3.66	4
novel_gene_175_5bd9a17a	3.14	3.43	2.49
novel_gene_1750_5bd9a17a	3.2	3.14	2.93
novel_gene_1751_5bd9a17a	2.69	2.71	2.81
novel_gene_1753_5bd9a17a	2.37	3.31	3.33
novel_gene_1758_5bd9a17a	0.77	3.19	2.73
novel_gene_1759_5bd9a17a	1.83	2.14	1.58
novel_gene_1769_5bd9a17a	3.37	2.82	2.35
novel_gene_1770_5bd9a17a	3.7	2.61	3.45
novel_gene_1772_5bd9a17a	1.78	1.53	1.39
novel_gene_1774_5bd9a17a	2.88	2.09	1.93
novel_gene_1775_5bd9a17a	4.25	5.06	4.47
novel_gene_1778_5bd9a17a	4.02	4.24	3.99
novel_gene_1779_5bd9a17a	1.19	1.62	2.01
novel_gene_178_5bd9a17a	6.94	6.39	6.35
novel_gene_1780_5bd9a17a	1.19	1.62	2.01
novel_gene_1782_5bd9a17a	4.2	4.09	4.2
novel_gene_1783_5bd9a17a	2.32	1.7	1.86
novel_gene_1784_5bd9a17a	2.91	2.16	1.75
novel_gene_1789_5bd9a17a	0.77	2.18	1.29
novel_gene_179_5bd9a17a	0.77	2.34	2.34
novel_gene_1790_5bd9a17a	2.4	3.28	2.1
novel_gene_1792_5bd9a17a	3.71	4.23	3.83
novel_gene_1795_5bd9a17a	2.9	1.87	2.18
novel_gene_1797_5bd9a17a	5.83	4.97	4.99
novel_gene_180_5bda875f	4.02	3.18	2.35
novel_gene_1803_5bd9a17a	4.46	5.4	2.86
novel_gene_1804_5bd9a17a	2.62	2.49	2.24
novel_gene_1805_5bd9a17a	4.96	4.56	3.34
novel_gene_1808_5bd9a17a	1.99	1.07	1.21
novel_gene_1809_5bd9a17a	2.4	2.46	0.77
novel_gene_1811_5bd9a17a	3.29	2.53	3.42
novel_gene_1814_5bd9a17a	4.9	5.78	5.06
novel_gene_1815_5bd9a17a	5.47	5.77	4.89
novel_gene_1817_5bd9a17a	3.96	5.03	3.81
novel_gene_1818_5bd9a17a	3.27	4.34	2.8
novel_gene_182_5bda875f	3.27	3.65	2.21
novel_gene_1822_5bd9a17a	4.97	4.69	4.09
novel_gene_1824_5bd9a17a	1.82	2.74	1.96
novel_gene_1825_5bd9a17a	2.9	3.15	2.73
novel_gene_1827_5bd9a17a	0.77	2.46	0.92
novel_gene_1828_5bd9a17a	2.69	1.73	2.1
novel_gene_1829_5bd9a17a	1.64	2.09	1.74
novel_gene_183_5bd9a17a	7	7.06	6.02
novel_gene_183_5bda875f	3.49	3.22	3.09
novel_gene_1830_5bd9a17a	2.72	3.41	2.03
novel_gene_1832_5bd9a17a	3.63	3.78	4.02
novel_gene_1833_5bd9a17a	3.88	3.09	3.95
novel_gene_1839_5bd9a17a	5.69	6.05	4.77
novel_gene_1840_5bd9a17a	2.36	3.03	2.47
novel_gene_1843_5bd9a17a	5.18	5.2	4.69
novel_gene_1845_5bd9a17a	6.89	6.16	6.77
novel_gene_1846_5bd9a17a	4.98	4.78	4.85
novel_gene_1847_5bd9a17a	2.1	1.51	1.95
novel_gene_1848_5bd9a17a	2.86	3.27	1.69
novel_gene_185_5bd9a17a	5.36	4.98	4.27
novel_gene_1851_5bd9a17a	3.11	3.71	3.28
novel_gene_1853_5bd9a17a	3.9	3.65	4.04
novel_gene_1855_5bd9a17a	4.15	4.02	3.73
novel_gene_1856_5bd9a17a	4.31	3.9	4.12
novel_gene_1857_5bd9a17a	2.01	2.16	1.85
novel_gene_1858_5bd9a17a	0.77	0.99	1.4
novel_gene_1859_5bd9a17a	2.4	2.85	2.44
novel_gene_1862_5bd9a17a	4.86	5.49	5.15
novel_gene_1866_5bd9a17a	3.1	2.81	3.58
novel_gene_1868_5bd9a17a	4.07	3.07	2.43
novel_gene_187_5bd9a17a	3.28	2.76	2.74
novel_gene_1872_5bd9a17a	0.77	2.57	1.95
novel_gene_1878_5bd9a17a	1.5	1.3	0.94
novel_gene_1879_5bd9a17a	4.24	4.84	4.52
novel_gene_188_5bd9a17a	0.77	4.92	4.36
novel_gene_1881_5bd9a17a	2.38	2.6	2.91
novel_gene_1884_5bd9a17a	4.48	4.67	4.45
novel_gene_1885_5bd9a17a	2.66	3	3.19
novel_gene_1887_5bd9a17a	3.03	2.59	2.27
novel_gene_1888_5bd9a17a	3.44	2.82	2.6
novel_gene_189_5bda875f	0.77	1.39	1.47
novel_gene_1890_5bd9a17a	3.96	3.84	2.04
novel_gene_1891_5bd9a17a_novel_gene_1892_5bd9a17a	1.52	2.03	1.79
novel_gene_1896_5bd9a17a	0.77	0.77	2.77
novel_gene_1897_5bd9a17a	0.77	0.77	1.67
novel_gene_1898_5bd9a17a	3.1	4.38	3.69
novel_gene_1899_5bd9a17a	3.01	3.56	2.33
novel_gene_19_5bd9a17a	2.37	2.49	3.37
novel_gene_19_5bda875f	5.11	3.43	3.2
novel_gene_190_5bda875f	4.84	4.86	4.41
novel_gene_1900_5bd9a17a	5.98	5.64	5.71
novel_gene_1901_5bd9a17a	5.58	4.55	3.15
novel_gene_1902_5bd9a17a	4.89	5.01	4.64
novel_gene_1905_5bd9a17a	1.57	0.77	1.77
novel_gene_1906_5bd9a17a	2.93	3.45	3.21
novel_gene_1907_5bd9a17a	2.5	4.08	3.98
novel_gene_1908_5bd9a17a	4.02	3.88	3.28
